"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri May 10 01:15:19 BST 2024","Fri May 10 01:15:58 BST 2024","38821","","SignUp funcionality test","","","","should pop up error ""This field is required."" when signing up with empty email",""
"passed","Fri May 10 01:16:07 BST 2024","Fri May 10 01:16:08 BST 2024","1311","","Shop funcionality test","","","","""before each"" hook for Shop funcionality test",""
"passed","Fri May 10 00:02:23 BST 2024","Fri May 10 00:02:28 BST 2024","4554","","Shop funcionality test","","","","should change currency at country/region menu to Germany Euro, and the prices for the good should be in EUR",""
"passed","Fri May 10 01:21:38 BST 2024","Fri May 10 01:21:41 BST 2024","3576","","Shop funcionality test","","","","should remove item from the cart, and cart should become empty",""
"passed","Fri May 10 00:02:31 BST 2024","Fri May 10 00:02:35 BST 2024","4709","","SignUp funcionality test","","","","should pop up error ""Password must contain at least one symbol."" when signing up with no symbol in password",""
"broken","Fri May 10 00:01:54 BST 2024","Fri May 10 00:02:24 BST 2024","29488","","Login funcionality test","","","","should pop up error ""Required"" when logging with empty credentials",""
"passed","Fri May 10 01:21:59 BST 2024","Fri May 10 01:22:00 BST 2024","1089","","Shop funcionality test","","","","""before each"" hook for Shop funcionality test",""
"broken","Fri May 10 01:21:44 BST 2024","Fri May 10 01:21:55 BST 2024","11002","","SignUp funcionality test","","","","should pop up error ""This field is required."" when signing up with empty first name",""
"passed","Fri May 10 01:21:52 BST 2024","Fri May 10 01:21:55 BST 2024","2512","","Login funcionality test","","","","""before each"" hook for Login funcionality test",""
"passed","Fri May 10 01:22:27 BST 2024","Fri May 10 01:22:32 BST 2024","5035","","SignUp funcionality test","","","","should pop up error ""This field is required."" when signing up with empty password",""
"passed","Fri May 10 00:02:33 BST 2024","Fri May 10 00:02:43 BST 2024","9721","","Login funcionality test","","","","""before each"" hook for Login funcionality test",""
"passed","Fri May 10 00:01:54 BST 2024","Fri May 10 00:02:00 BST 2024","5309","","Shop funcionality test","","","","check the cart should be empty before shopping first item",""
"passed","Fri May 10 01:21:33 BST 2024","Fri May 10 01:21:42 BST 2024","9557","","Login funcionality test","","","","should pop up error ""Required"" when logging with empty credentials",""
"passed","Fri May 10 00:02:43 BST 2024","Fri May 10 00:02:46 BST 2024","2767","","SignUp funcionality test","","","","should pop up error ""Please accept the terms and conditions"" when signing up without confirming terms",""
"passed","Fri May 10 01:21:35 BST 2024","Fri May 10 01:21:38 BST 2024","2420","","Shop funcionality test","","","","should add new item to the cart, and item is displayed in the cart",""
"passed","Fri May 10 00:02:23 BST 2024","Fri May 10 00:02:24 BST 2024","1019","","Shop funcionality test","","","","""before each"" hook for Shop funcionality test",""
"passed","Fri May 10 01:21:51 BST 2024","Fri May 10 01:21:59 BST 2024","8525","","Shop funcionality test","","","","should change currency at country/region menu to Egypt Lyra",""
"passed","Fri May 10 01:21:52 BST 2024","Fri May 10 01:22:01 BST 2024","8895","","Login funcionality test","","","","should pop up error ""Required"" when logging with empty password",""
"passed","Fri May 10 00:02:11 BST 2024","Fri May 10 00:02:15 BST 2024","4345","","Shop funcionality test","","","","should search for item b, and show relevant search results",""
"passed","Fri May 10 01:15:29 BST 2024","Fri May 10 01:16:13 BST 2024","44067","","Shop funcionality test","","","","should remove item from the cart, and cart should become empty",""
"passed","Fri May 10 01:22:17 BST 2024","Fri May 10 01:22:22 BST 2024","5199","","SignUp funcionality test","","","","should pop up error ""Password must contain at least one symbol."" when signing up with no symbol in password",""
"passed","Fri May 10 01:22:06 BST 2024","Fri May 10 01:22:12 BST 2024","5297","","SignUp funcionality test","","","","should pop up error ""Password must be at least 12 characters."" when signing up with short password",""
"passed","Fri May 10 01:15:52 BST 2024","Fri May 10 01:15:58 BST 2024","6288","","Shop funcionality test","","","","should search for item a, and show relevant search results",""
"passed","Fri May 10 00:02:00 BST 2024","Fri May 10 00:02:02 BST 2024","2088","","Shop funcionality test","","","","should add new item to the cart, and item is displayed in the cart",""
"passed","Fri May 10 00:01:54 BST 2024","Fri May 10 00:02:11 BST 2024","16659","","SignUp funcionality test","","","","should pop up error ""This field is required."" when signing up with empty email",""
"passed","Fri May 10 00:02:43 BST 2024","Fri May 10 00:02:43 BST 2024","349","","SignUp funcionality test","","","","""before each"" hook for SignUp funcionality test",""
"passed","Fri May 10 01:15:23 BST 2024","Fri May 10 01:16:13 BST 2024","49789","","Shop funcionality test","","","","should add new item to the cart, and item is displayed in the cart",""
"passed","Fri May 10 00:02:15 BST 2024","Fri May 10 00:02:19 BST 2024","3573","","Shop funcionality test","","","","should search for item a, and show relevant search results",""
"passed","Fri May 10 01:22:32 BST 2024","Fri May 10 01:22:32 BST 2024","127","","SignUp funcionality test","","","","""before each"" hook for SignUp funcionality test",""
"passed","Fri May 10 01:21:42 BST 2024","Fri May 10 01:21:52 BST 2024","9827","","Login funcionality test","","","","should pop up error ""Required"" when logging with empty email",""
"passed","Fri May 10 00:02:26 BST 2024","Fri May 10 00:02:31 BST 2024","5211","","SignUp funcionality test","","","","should pop up error ""Password must contain at least one number."" when signing up with no number in password",""
"passed","Fri May 10 00:02:33 BST 2024","Fri May 10 00:02:46 BST 2024","13022","","Login funcionality test","","","","should pop up error ""Required"" when logging with empty password",""
"passed","Fri May 10 01:21:55 BST 2024","Fri May 10 01:22:06 BST 2024","11048","","SignUp funcionality test","","","","should pop up error ""This field is required."" when signing up with empty last name",""
"passed","Fri May 10 01:21:49 BST 2024","Fri May 10 01:21:51 BST 2024","2158","","Shop funcionality test","","","","should search for item a, and show relevant search results",""
"broken","Fri May 10 01:15:35 BST 2024","Fri May 10 01:15:58 BST 2024","23201","","SignUp funcionality test","","","","should pop up error ""This field is required."" when signing up with empty first name",""
"passed","Fri May 10 01:15:35 BST 2024","Fri May 10 01:15:43 BST 2024","7905","","SignUp funcionality test","","","","""before each"" hook for SignUp funcionality test",""
"passed","Fri May 10 00:02:02 BST 2024","Fri May 10 00:02:07 BST 2024","5338","","Shop funcionality test","","","","should remove item from the cart, and cart should become empty",""
"broken","Fri May 10 01:15:48 BST 2024","Fri May 10 01:15:58 BST 2024","10039","","SignUp funcionality test","","","","should pop up error ""This field is required."" when signing up with empty last name",""
"passed","Fri May 10 01:15:58 BST 2024","Fri May 10 01:16:13 BST 2024","14824","","Shop funcionality test","","","","should change currency at country/region menu to Egypt Lyra",""
"passed","Fri May 10 01:22:22 BST 2024","Fri May 10 01:22:27 BST 2024","5097","","SignUp funcionality test","","","","should pop up error ""Password must contain at least one upper-case letter."" when signing up with no upper-case letter in password",""
"passed","Fri May 10 01:16:07 BST 2024","Fri May 10 01:16:13 BST 2024","5828","","Shop funcionality test","","","","should change currency at country/region menu to Germany Euro, and the prices for the good should be in EUR",""
"passed","Fri May 10 00:02:40 BST 2024","Fri May 10 00:02:43 BST 2024","3158","","SignUp funcionality test","","","","should pop up error ""This field is required."" when signing up with empty password",""
"passed","Fri May 10 00:02:20 BST 2024","Fri May 10 00:02:26 BST 2024","5193","","SignUp funcionality test","","","","should pop up error ""Password must be at least 12 characters."" when signing up with short password",""
"passed","Fri May 10 00:02:16 BST 2024","Fri May 10 00:02:20 BST 2024","4069","","SignUp funcionality test","","","","should pop up error ""This field is required."" when signing up with empty last name",""
"passed","Fri May 10 00:02:35 BST 2024","Fri May 10 00:02:40 BST 2024","4376","","SignUp funcionality test","","","","should pop up error ""Password must contain at least one upper-case letter."" when signing up with no upper-case letter in password",""
"passed","Fri May 10 01:21:33 BST 2024","Fri May 10 01:21:44 BST 2024","11504","","SignUp funcionality test","","","","should pop up error ""This field is required."" when signing up with empty email",""
"passed","Fri May 10 01:21:33 BST 2024","Fri May 10 01:21:35 BST 2024","2702","","Shop funcionality test","","","","check the cart should be empty before shopping first item",""
"passed","Fri May 10 00:02:19 BST 2024","Fri May 10 00:02:23 BST 2024","4642","","Shop funcionality test","","","","should change currency at country/region menu to Egypt Lyra",""
"passed","Fri May 10 01:15:18 BST 2024","Fri May 10 01:15:23 BST 2024","4755","","Shop funcionality test","","","","check the cart should be empty before shopping first item",""
"broken","Fri May 10 01:15:19 BST 2024","Fri May 10 01:15:29 BST 2024","10148","","Login funcionality test","","","","should pop up error ""Required"" when logging with empty credentials",""
"passed","Fri May 10 01:15:45 BST 2024","Fri May 10 01:15:52 BST 2024","6213","","Shop funcionality test","","","","should search for item b, and show relevant search results",""
"passed","Fri May 10 00:02:24 BST 2024","Fri May 10 00:02:33 BST 2024","9593","","Login funcionality test","","","","should pop up error ""Required"" when logging with empty email",""
"passed","Fri May 10 01:22:32 BST 2024","Fri May 10 01:22:35 BST 2024","2712","","SignUp funcionality test","","","","should pop up error ""Please accept the terms and conditions"" when signing up without confirming terms",""
"passed","Fri May 10 01:22:12 BST 2024","Fri May 10 01:22:17 BST 2024","5087","","SignUp funcionality test","","","","should pop up error ""Password must contain at least one number."" when signing up with no number in password",""
"passed","Fri May 10 00:02:11 BST 2024","Fri May 10 00:02:16 BST 2024","5363","","SignUp funcionality test","","","","should pop up error ""This field is required."" when signing up with empty first name",""
"passed","Fri May 10 01:21:43 BST 2024","Fri May 10 01:21:49 BST 2024","5829","","Shop funcionality test","","","","should search for item b, and show relevant search results",""
"passed","Fri May 10 01:21:59 BST 2024","Fri May 10 01:22:04 BST 2024","4691","","Shop funcionality test","","","","should change currency at country/region menu to Germany Euro, and the prices for the good should be in EUR",""
